FIELD	CATEGORY	STATUS	AUTHORITY	POSTGRESQL_TARGET	READ	WRITE	READ_WRITE	METADATA	FILE_COUNT	FILES	COMPONENTS	MBSETUP_WRITES	LEGACY_SEMANTICS	MIGRATION_RULE	WRITE_POLICY	PRIVACY_POLICY	COMPATIBILITY_RULE
sUserName	profile-identity	retained	PostgreSQL	bbs_user_profiles.display_name	95	4	4	3	27	fortytwo-auth/src/legacy_userdb.c,fortytwo-auth/src/legacy_userdb_provision.c,lib/dbuser.c,lib/jammsg.c,mbfido/scan.c,mbfido/storenet.c,mbsebbs/chat.c,mbsebbs/dispfile.c,mbsebbs/door.c,mbsebbs/email.c,mbsebbs/file.c,mbsebbs/filesub.c,mbsebbs/funcs.c,mbsebbs/mail.c,mbsebbs/misc.c,mbsebbs/newuser.c,mbsebbs/offline.c,mbsebbs/oneline.c,mbsebbs/signature.c,mbsebbs/timestats.c,mbsebbs/user.c,mbsebbs/userlist.c,mbsebbs/whoson.c,mbsetup/m_limits.c,mbsetup/m_users.c,mbutils/mbuser.c,unix/mblogin.c	fortytwo-auth,lib,mbfido,mbsebbs,mbsetup,mbutils,unix	2	Anzeigename des Benutzers	Bestehende B5.4-Zuordnung unverändert übernehmen	Änderung nur über die kontrollierte Profilfunktion	In Benutzeroberflächen sichtbar; keine unnötige Protokollierung	Bei Bedarf in den Legacy-Datensatz spiegeln
sHandle	profile-identity	retained	PostgreSQL	bbs_user_profiles.handle	46	7	0	4	15	fortytwo-auth/src/legacy_userdb.c,fortytwo-auth/src/legacy_userdb_provision.c,lib/dbuser.c,mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/door.c,mbsebbs/funcs.c,mbsebbs/mail.c,mbsebbs/misc.c,mbsebbs/newuser.c,mbsebbs/offline.c,mbsebbs/userlist.c,mbsebbs/whoson.c,mbsetup/m_users.c,unix/mblogin.c	fortytwo-auth,lib,mbsebbs,mbsetup,unix	2	Öffentlicher Alias oder Handle	Bestehende B5.4-Zuordnung unverändert übernehmen	Änderung nur über die kontrollierte Profilfunktion mit Eindeutigkeitsprüfung	Öffentliches Profilfeld	Bei Bedarf in den Legacy-Datensatz spiegeln
iLanguage	profile-preference	retained	PostgreSQL	bbs_user_profiles.language_code	4	4	0	0	6	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/change.c,mbsebbs/mail.c,mbsebbs/newuser.c,mbsebbs/user.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	Bevorzugte BBS-Sprache	Legacy-Sprachindex in einen stabilen Sprachcode übersetzen	Benutzer darf seine verfügbare Sprache selbst wählen	Nicht sensibel	Legacy-Index nur aus dem PostgreSQL-Sprachcode ableiten
sVoicePhone	private-profile	decided	PostgreSQL	bbs_user_private_profiles.voice_phone (planned)	10	4	0	0	5	mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/door.c,mbsebbs/newuser.c,mbsetup/m_users.c	mbsebbs,mbsetup	2	Primäre Telefonnummer	Leerwert wird NULL; Nummer normalisieren, ohne nicht normierbare Legacy-Werte zu verlieren	Selbstverwaltung nur wenn die Installation das Feld aktiviert; administrativer Zugriff möglich	Privat; niemals im Klartext protokollieren oder standardmäßig an Doors exportieren	Nur für ausdrücklich freigegebene Legacy-Kompatibilität spiegeln
sDataPhone	private-profile	decided	PostgreSQL	bbs_user_private_profiles.data_phone (planned)	9	5	0	0	5	mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/door.c,mbsebbs/newuser.c,mbsetup/m_users.c	mbsebbs,mbsetup	2	Historische Daten- oder geschäftliche Telefonnummer	Leerwert wird NULL; identischen Wert zur Voice-Nummer nicht künstlich duplizieren	Selbstverwaltung nur wenn die Installation das Feld aktiviert; administrativer Zugriff möglich	Privat; niemals im Klartext protokollieren oder standardmäßig an Doors exportieren	Nur für ausdrücklich freigegebene Legacy-Kompatibilität spiegeln
sLocation	public-profile	decided	PostgreSQL	bbs_user_profiles.location_text (planned)	15	4	1	0	10	mbnntp/auth.c,mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/door.c,mbsebbs/misc.c,mbsebbs/newuser.c,mbsebbs/user.c,mbsebbs/userlist.c,mbsetup/m_limits.c,mbsetup/m_users.c	mbnntp,mbsebbs,mbsetup	2	Vom Benutzer angegebener Ort oder Standorttext	Text unverändert erhalten, lediglich Länge und UTF-8 validieren	Benutzer darf den eigenen Standorttext bearbeiten	Profilfeld; Ausgabe in Listen und an Doors nur nach festgelegter Sichtbarkeitspolitik	Für kompatible Benutzerlisten und freigegebene Doors ableitbar
address	private-profile	decided	PostgreSQL	bbs_user_private_profiles.postal_address_lines (planned)	25	3	0	0	4	mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/newuser.c,mbsetup/m_users.c	mbsebbs,mbsetup	1	Postanschrift mit bis zu drei Legacy-Zeilen	Drei Legacy-Zeilen geordnet übernehmen; vollständig leere Anschrift wird NULL	Selbstverwaltung nur wenn die Installation die Anschrift verlangt; administrativer Zugriff möglich	Streng privat und standardmäßig nur administrativ sichtbar; niemals im Klartext protokollieren	Nicht an Doors oder öffentliche Benutzerlisten ausgeben
sDateOfBirth	private-profile	decided	PostgreSQL	bbs_user_private_profiles.date_of_birth (planned)	9	5	0	0	6	mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/door.c,mbsebbs/newuser.c,mbsebbs/user.c,mbsetup/m_users.c	mbsebbs,mbsetup	2	Geburtsdatum für Altersprüfung und Geburtstagsanzeige	Gültiges DD-MM-YYYY in PostgreSQL DATE konvertieren; ungültige Werte nicht stillschweigend übernehmen	Selbstverwaltung nur über validierte Datumseingabe; administrativer Zugriff möglich	Privat; keine Klartext-Protokollierung und kein standardmäßiger Door-Export	Geburtstagsfunktion darf nur Tag und Monat auswerten
sSex	private-profile	decided	PostgreSQL	bbs_user_private_profiles.sex_code (planned)	5	7	0	0	3	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/newuser.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	3	Historische Auswahl Male, Female oder Unknown	Male, Female und Unknown in geprüfte kanonische Werte übersetzen; sonst NULL	Optionales selbstverwaltetes Profilfeld; ohne Einfluss auf Berechtigungen	Privat; keine Klartext-Protokollierung und keine Verwendung für Autorisierung oder automatische Entscheidungen	Nur bei ausdrücklichem Legacy-Bedarf spiegeln
HotKeys	terminal-preference	decided	PostgreSQL	bbs_user_preferences.hotkeys_enabled (planned)	7	7	0	0	7	fortytwo-auth/src/legacy_userdb_provision.c,mbsebbs/change.c,mbsebbs/dispfile.c,mbsebbs/menu.c,mbsebbs/newuser.c,mbsebbs/offline.c,mbsetup/m_users.c	fortytwo-auth,mbsebbs,mbsetup	1	Ein-Tasten-Menüauswahl	Legacy-Booleschen Wert unverändert übernehmen	Benutzer darf die Präferenz selbst ändern	Nicht sensibel	Legacy-Booleschen Wert aus PostgreSQL ableiten
