FIELD	CATEGORY	LEGACY_SEMANTICS	DECISION_STATUS	AUTHORITY	POSTGRESQL_TABLE	POSTGRESQL_TARGET	MIGRATION_RULE	WRITE_POLICY	CONSISTENCY_RULE	SECURITY_RULE
sComment	comment-mailbox	Sysop-Kommentar zum Benutzer; während vorbereiteter Registrierungen zusätzlich als technischer Marker missbraucht	persistent	PostgreSQL	bbs_user_admin_notes (planned)	note_text	Nur echte menschliche Kommentare importieren; bekannte FortyTwo-Registrierungsmarker vorher erkennen und aus Registrierungs- sowie Legacy-Binding-Tabellen ableiten	Nur privilegierte Sysop-Operation mit Audit; kein Login-, Sitzungs- oder Provisionierungswriter	Nach der Umstellung niemals für Identität, Autorisierung oder Registrierungszustand verwenden	Privater administrativer Vermerk; nicht an Benutzerlisten, Doors, Dropfiles oder unprivilegierte APIs ausgeben
Email	comment-mailbox	Boolescher Schalter für eine private interne MBSE-Mailbox; keine E-Mail-Adresse	persistent	PostgreSQL	bbs_user_mailbox_settings (planned)	private_mailbox_enabled	Nur den Booleschen Mailboxzustand übernehmen; niemals eine Internetadresse oder Kontaktinformation daraus ableiten	Registrierungsstandard oder privilegierte Admin-Änderung; Änderung auditieren	Deaktivieren stoppt Provisionierung und Scan neuer privater Mailboxbereiche, löscht aber keine bestehenden Nachrichten	Keine Wirkung auf Login, Rollen, SSH-Zugriff oder PostgreSQL-Identität
iLastFileArea	navigation-state	Zuletzt verwendete numerische Dateibereichsnummer und Wiedereinstiegspunkt der nächsten Sitzung	persistent	PostgreSQL	bbs_user_navigation_state (planned)	last_file_area_id	Legacy-Bereichsnummer gegen den aktuellen Dateibereichsbestand auflösen; unbekannte oder gelöschte Bereiche auf den freigegebenen Standardbereich zurücksetzen	Bei erfolgreicher Auswahl eines zugänglichen Dateibereichs transaktional aktualisieren	Gespeicherte Navigation gewährt niemals Zugriff; beim Einstieg Berechtigung erneut prüfen	Keine ungeprüfte Übernahme einer numerischen Legacy-ID als Autorisierungsentscheidung
iLastFileGroup	navigation-state	Historisch vorgesehene letzte Dateigruppennummer; im aktuellen Quellbaum ohne direkten Zugriff	retired	none	—	—	Nicht importieren; eine Gruppe bei Bedarf aus dem gültigen Dateibereich ableiten	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Ein neuer direkter Zugriff erfordert eine neue geprüfte Architekturentscheidung	Darf keine Zugriffsgruppe oder Rolle abbilden
iLastMsgArea	navigation-state	Zuletzt verwendete numerische Nachrichtenbereichsnummer und Wiedereinstiegspunkt der nächsten Sitzung	persistent	PostgreSQL	bbs_user_navigation_state (planned)	last_message_area_id	Legacy-Bereichsnummer gegen den aktuellen Nachrichtenbestand auflösen; unbekannte oder gelöschte Bereiche auf den freigegebenen Standardbereich zurücksetzen	Bei erfolgreicher Auswahl eines zugänglichen Nachrichtenbereichs transaktional aktualisieren	Gespeicherte Navigation gewährt niemals Zugriff; beim Einstieg Berechtigung erneut prüfen	Keine ungeprüfte Übernahme einer numerischen Legacy-ID als Autorisierungsentscheidung
iLastMsgGroup	navigation-state	Historisch vorgesehene letzte Nachrichtengruppennummer; im aktuellen Quellbaum ohne direkten Zugriff	retired	none	—	—	Nicht importieren; eine Gruppe bei Bedarf aus dem gültigen Nachrichtenbereich ableiten	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Ein neuer direkter Zugriff erfordert eine neue geprüfte Architekturentscheidung	Darf keine Zugriffsgruppe oder Rolle abbilden
LastPktNum	offline-reader-state	Historische tägliche Offline-Paketnummer; im aktuellen Quellbaum ohne direkten Zugriff	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Neue Paketkennungen werden unabhängig und kollisionssicher erzeugt	Nicht als Sequenz-, Besitz- oder Replay-Schutz nutzen
OLRext	offline-reader-state	Persistenter Zähler für die Erweiterung beziehungsweise Benennung von Offline-Reader-Paketen	persistent	PostgreSQL	bbs_user_offline_reader_state (planned)	packet_extension_counter	Nichtnegativen Legacy-Integer übernehmen; negative oder unplausible Werte kontrolliert auf null setzen und protokollieren	Nur beim erfolgreichen Erzeugen eines Offline-Pakets atomar erhöhen	Zähler und zugehöriges letztes Downloaddatum in derselben Transaktion aktualisieren	Zähler ist keine Autorisierung und kein kryptografischer Replay-Schutz
OLRlast	offline-reader-state	Datum des letzten erfolgreichen Offline-Reader-Downloads im Legacy-Datumsformat	persistent	PostgreSQL	bbs_user_offline_reader_state (planned)	last_download_on	Gültiges Legacy-Datum in DATE umwandeln; leere oder ungültige Werte als NULL übernehmen und protokollieren	Nur nach erfolgreicher Paketerzeugung beziehungsweise erfolgreicher Downloadbereitstellung setzen	Datum und Paket-Erweiterungszähler in derselben Transaktion aktualisieren	Nicht als Loginzeitpunkt, Aktivitätsnachweis oder Berechtigungsgrenze verwenden
xChat	session-runtime	Unbenutztes historisches Chat-Bit	retired	none	—	—	Nicht importieren	Im Legacy-Kompatibilitätsdatensatz auf null belassen	Keine Wiederbelebung ohne neue Quellanalyse	Keine Chat- oder Sysop-Berechtigung daraus ableiten
