FIELD	CATEGORY	LEGACY_SEMANTICS	AUTHORITY	POSTGRESQL_TARGET	UNIT_RULE	MIGRATION_RULE	WRITE_POLICY	CONSISTENCY_RULE	COMPATIBILITY_RULE	STATUS
tFirstLoginDate	account-timeline	Tatsächlicher Registrierungszeitpunkt; der Feldname first login ist irreführend	PostgreSQL	bbs_users.registered_at	Legacy-Epochsekunden werden als timestamptz interpretiert	Gültigen Legacy-Wert übernehmen; bei Abweichung besitzt der FTAP-Registrierungszeitpunkt Vorrang	Nur der erfolgreiche Registrierungsprozess darf den Wert einmalig setzen	Nach erfolgreicher Registrierung unveränderlich; administrative Korrekturen nur auditiert	Legacy-Feld aus registered_at ableiten	decided
tLastLoginDate	account-timeline	Zeitpunkt des letzten erfolgreichen BBS- oder NNTP-Zugriffs	PostgreSQL	bbs_user_access_summary.last_successful_access_at (planned)	Legacy-Epochsekunden werden als timestamptz interpretiert	Nur positive und plausible Werte übernehmen; Null bedeutet noch kein erfolgreicher Zugriff	Nur nach vollständig erfolgreicher Authentifizierung und Autorisierung aktualisieren	Zugriffsereignis und Zusammenfassung werden in derselben Transaktion geschrieben; fehlgeschlagene Anmeldungen zählen nicht	Legacy-Feld aus der transportübergreifenden Zugriffszusammenfassung ableiten	decided
iTimeLeft	time-account	Verbleibendes tägliches Online-Zeitbudget in Minuten	Derived	derived: bbs_access_policies.daily_online_seconds - bbs_user_daily_usage.online_seconds_used (planned)	Legacy-Minuten werden für Berechnungen mit 60 in Sekunden umgerechnet	Nicht als unabhängigen Saldo migrieren; nur mit iTimeUsed und der geprüften Tagesrichtlinie abgleichen	Darf nicht direkt geschrieben werden; der Wert wird aus Richtlinie und Tagesverbrauch berechnet	Unbegrenzt wird als NULL-Richtlinie modelliert; niemals als magische Zahl 86400 Minuten	Für Legacy-Code aus dem Restbudget in Minuten ableiten; bei unbegrenzt höchstens 1440 Minuten pro Sitzung ausgeben	derived
iTimeUsed	time-account	Heute verbrauchte Online-Zeit in Minuten	PostgreSQL	bbs_user_daily_usage.online_seconds_used (planned)	Legacy-Minuten werden mit 60 in Sekunden umgerechnet	Wert dem Installationstag des Legacy-Datensatzes zuordnen; negative Werte ablehnen	Nur durch atomare Sitzungsabrechnung erhöhen; administrative Korrekturen benötigen Auditgrund	Tageswerte sind nach Benutzer und Installationstag getrennt; kein Reset durch Überschreiben des Benutzerprofils	Legacy-Minuten aus den gespeicherten Sekunden ableiten	decided
iConnectTime	session-state	Online-Zeit der aktuellen Sitzung in Minuten	PostgreSQL session state	bbs_sessions.connected_seconds (planned)	Legacy-Minuten werden mit 60 in Sekunden umgerechnet	Alte Datensatzwerte nicht migrieren, da sie beim Login ohnehin auf null gesetzt werden	Nur die aktive Sitzung darf den Wert monoton aktualisieren	Kein dauerhafter Benutzerprofilwert; Sitzungsende schreibt die endgültige Dauer atomar	Beim Aufbau eines Legacy-Sitzungsdatensatzes zunächst null, danach aus der aktiven Sitzung ableiten	session-only
Credit	offline-reader-compatibility	Blue-Wave-NetMail-Credits; keine allgemeine BBS-Währung	PostgreSQL	bbs_user_offline_reader_settings.netmail_credits (planned)	Ganzzahl im Bereich 0 bis 65535 für das Blue-Wave-tWORD-Feld	Nur gültige Werte übernehmen; negative oder übergroße Werte zur manuellen Prüfung markieren und niemals umbrechen	Nur administrativ und auditiert änderbar	Keine Verwendung für Login, Rollen, Downloads oder andere Kontoberechtigungen	Nur bei aktivierter Blue-Wave-Ausgabe exportieren; Debits bleiben getrennt und standardmäßig null	decided
Downloads	transfer-usage	Kumulative Anzahl erfolgreich abgeschlossener Datei-Downloads	PostgreSQL	bbs_user_usage_totals.download_files (planned)	Nichtnegative BIGINT-Anzahl	Nichtnegative Legacy-Anzahl übernehmen	Nur nach erfolgreichem Abschluss atomar erhöhen; administrative Korrekturen nur als auditierte Anpassung	Keine Ganzsatz-Rewrites und keine verlorenen Updates bei parallelen Übertragungen	Legacy-Feld aus dem kumulativen Zähler ableiten	decided
Uploads	transfer-usage	Kumulative Anzahl erfolgreich abgeschlossener Datei-Uploads	PostgreSQL	bbs_user_usage_totals.upload_files (planned)	Nichtnegative BIGINT-Anzahl	Nichtnegative Legacy-Anzahl übernehmen	Nur nach erfolgreichem Abschluss atomar erhöhen; administrative Korrekturen nur als auditierte Anpassung	Keine Ganzsatz-Rewrites und keine verlorenen Updates bei parallelen Übertragungen	Legacy-Feld aus dem kumulativen Zähler ableiten	decided
DownloadK	transfer-usage	Kumulative heruntergeladene Datenmenge, trotz irreführendem Altcodekommentar nicht nur heute	PostgreSQL	bbs_user_usage_totals.download_bytes (planned)	Legacy-KiB werden mit 1024 in Bytes umgerechnet	Nichtnegative Legacy-KiB übernehmen; Überlauf oder negative Werte zur Prüfung markieren	Erfolgreich übertragene Bytes atomar addieren	Der Dateizähler und die Bytezahl werden im selben Übertragungsabschluss aktualisiert	Legacy-KiB durch ganzzahlige Division der Bytes durch 1024 ableiten	decided
UploadK	transfer-usage	Kumulative hochgeladene Datenmenge	PostgreSQL	bbs_user_usage_totals.upload_bytes (planned)	Legacy-KiB werden mit 1024 in Bytes umgerechnet	Nichtnegative Legacy-KiB übernehmen; Überlauf oder negative Werte zur Prüfung markieren	Erfolgreich übertragene Bytes atomar addieren	Der Dateizähler und die Bytezahl werden im selben Übertragungsabschluss aktualisiert	Legacy-KiB durch ganzzahlige Division der Bytes durch 1024 ableiten	decided
